tau,lh,seed,task,bpm,n_strikes,success_rate,abs_err_ms_mean,err_ms_mean,err_ms_std,peak_force_mean,miss_rate_force,force_threshold_N,file
0.5,0.1,3,gmd_04_extreme_bpm170,170.0,44,0.4772727272727273,16.400375366210778,1.6000366210938035,28.60426751016415,11.100856802680276,0.4318181818181818,1.0,eval_logs_tau_sweep/2026-07-18_07-36-08_tau0.5_lh0.1_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
0.5,0.25,3,double_160bpm,160.0,72,0.8611111111111112,13.264111346668633,-4.2361534304088995,21.942382846193986,17.468551516532898,0.0,1.0,eval_logs_tau_sweep/2026-07-18_12-26-58_tau0.5_lh0.25_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.25,3,gmd_03_high_bpm138,138.0,45,0.8666666666666667,10.227474299343951,-5.227359858426062,14.465749237124536,22.4647552702162,0.022222222222222223,1.0,eval_logs_tau_sweep/2026-07-18_12-26-58_tau0.5_lh0.25_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
0.5,0.25,3,gmd_04_extreme_bpm170,170.0,44,0.8636363636363636,10.595477762676493,-1.7857579957870469,17.628727287837453,15.015273332595825,0.045454545454545456,1.0,eval_logs_tau_sweep/2026-07-18_12-26-58_tau0.5_lh0.25_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
0.5,0.5,3,double_160bpm,160.0,72,0.8333333333333334,13.310096633266376,-3.1690899754913824,17.93349599847805,23.213419010241825,0.013888888888888888,1.0,eval_logs_tau_sweep/2026-07-18_17-16-01_tau0.5_lh0.5_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
0.5,0.5,3,gmd_03_high_bpm138,138.0,45,0.9333333333333333,12.84118403087972,3.2955218445171925,15.209843633162228,117.15196632809109,0.022222222222222223,1.0,eval_logs_tau_sweep/2026-07-18_17-16-01_tau0.5_lh0.5_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
0.5,0.5,3,gmd_04_extreme_bpm170,170.0,44,0.9090909090909091,11.477530002594076,-2.386423674496616,15.382632660697874,343.1486719304865,0.0,1.0,eval_logs_tau_sweep/2026-07-18_17-16-01_tau0.5_lh0.5_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,0.25,3,double_160bpm,160.0,72,0.9305555555555556,15.764161944389347,-4.791751503944388,28.808205941446897,13.644641055001152,0.0,1.0,eval_logs_tau_sweep/2026-07-18_22-05-22_tau1.0_lh0.25_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,0.25,3,gmd_03_high_bpm138,138.0,45,0.9555555555555556,9.318370710719615,-1.818226142362893,12.012384425443223,14.570024156570435,0.022222222222222223,1.0,eval_logs_tau_sweep/2026-07-18_22-05-22_tau1.0_lh0.25_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
1.0,0.25,3,gmd_04_extreme_bpm170,170.0,44,0.8636363636363636,13.604957003926081,-5.000119985535963,24.004514968324607,18.934045401486483,0.022727272727272728,1.0,eval_logs_tau_sweep/2026-07-18_22-05-22_tau1.0_lh0.25_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,0.5,3,double_160bpm,160.0,72,0.7083333333333334,22.22266958819497,-14.722560842832005,29.238462278213525,14.012147125270632,0.0,1.0,eval_logs_tau_sweep/2026-07-19_02-55-00_tau1.0_lh0.5_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,0.5,3,gmd_03_high_bpm138,138.0,45,0.8,14.76773827574975,-7.790845493937761,17.08912657506938,19.195658704969617,0.044444444444444446,1.0,eval_logs_tau_sweep/2026-07-19_02-55-00_tau1.0_lh0.5_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
1.0,0.5,3,gmd_04_extreme_bpm170,170.0,44,0.8409090909090909,13.65882303656607,-6.585490412828365,16.37253262819022,119.1629525531422,0.06818181818181818,1.0,eval_logs_tau_sweep/2026-07-19_02-55-00_tau1.0_lh0.5_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
1.0,1.0,3,double_160bpm,160.0,72,0.7777777777777778,16.319768296347704,-11.458549234602177,18.336787524887107,211.98332658078937,0.0,1.0,eval_logs_tau_sweep/2026-07-19_07-43-40_tau1.0_lh1.0_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
1.0,1.0,3,gmd_03_high_bpm138,138.0,45,0.8444444444444444,15.357480162665917,-10.119282063983695,15.907402897064573,71.59538988007439,0.06666666666666667,1.0,eval_logs_tau_sweep/2026-07-19_07-43-40_tau1.0_lh1.0_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
1.0,1.0,3,gmd_04_extreme_bpm170,170.0,44,0.8181818181818182,13.500294089317427,-3.0000537633896043,18.25080449283319,231.95456111431122,0.09090909090909091,1.0,eval_logs_tau_sweep/2026-07-19_07-43-40_tau1.0_lh1.0_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,0.5,3,double_160bpm,160.0,72,0.8888888888888888,12.222447329097358,-7.222369313240067,14.677268213683917,37.37168339225981,0.0,1.0,eval_logs_tau_sweep/2026-07-19_12-32-35_tau2.0_lh0.5_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,0.5,3,gmd_03_high_bpm138,138.0,45,0.7777777777777778,18.95388614299695,-14.302616895631292,22.02811051612745,10.907970754305522,0.044444444444444446,1.0,eval_logs_tau_sweep/2026-07-19_12-32-35_tau2.0_lh0.5_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,0.5,3,gmd_04_extreme_bpm170,170.0,44,0.8636363636363636,15.714622679210834,-7.381098611014241,23.794312129053274,5.760144932703539,0.045454545454545456,1.0,eval_logs_tau_sweep/2026-07-19_12-32-35_tau2.0_lh0.5_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,1.0,3,double_160bpm,160.0,72,0.8333333333333334,11.12699004965766,-6.197309829819375,16.97649381076751,14.968475884861416,0.013888888888888888,1.0,eval_logs_tau_sweep/2026-07-19_17-23-23_tau2.0_lh1.0_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,1.0,3,gmd_03_high_bpm138,138.0,45,0.8,11.666927582178259,-2.9487915528126822,14.72222476319152,13.396039462089538,0.13333333333333333,1.0,eval_logs_tau_sweep/2026-07-19_17-23-23_tau2.0_lh1.0_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,1.0,3,gmd_04_extreme_bpm170,170.0,44,0.9318181818181818,10.000226043519339,-5.0001172792343125,12.147743508182453,328.71353688565165,0.045454545454545456,1.0,eval_logs_tau_sweep/2026-07-19_17-23-23_tau2.0_lh1.0_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
2.0,2.0,3,double_160bpm,160.0,72,0.5833333333333334,24.583846330642636,-20.417127344343353,34.50683280139203,59.13111459877756,0.0,1.0,eval_logs_tau_sweep/2026-07-19_22-13-16_tau2.0_lh2.0_seed3/model_1499/double_160bpm_trial0/simulation_log.csv
2.0,2.0,3,gmd_03_high_bpm138,138.0,45,0.7777777777777778,17.875394225120477,-4.87509667873367,30.35094296697565,15.351618271403842,0.1111111111111111,1.0,eval_logs_tau_sweep/2026-07-19_22-13-16_tau2.0_lh2.0_seed3/model_1499/gmd_03_high_bpm138_trial0/simulation_log.csv
2.0,2.0,3,gmd_04_extreme_bpm170,170.0,44,0.9090909090909091,10.36608509901089,1.3414941182951081,12.299892412130632,30.03800780935721,0.06818181818181818,1.0,eval_logs_tau_sweep/2026-07-19_22-13-16_tau2.0_lh2.0_seed3/model_1499/gmd_04_extreme_bpm170_trial0/simulation_log.csv
